game_id,moves,num_moves
11,e4 e5 Nf3 f5 d3 Nf6 Nc3 fxe4 dxe4 c6 Bc4 d5 exd5 e4 Ne5 Bb4 Bg5 Na6 O-O Qe7 f4 Bc5+ Kh1 Bd7 dxc6 Bxc6 Nd5 Bxd5 Qxd5 Nxd5 Bxd5 Qc7 Bf7+ Qxf7 Nxf7 Kxf7 Rae1 Rae8 c3 h6 Re2 Nc7 Bh4 Nd5 Bf2 Bxf2 Rfxf2 e3 Rf1 Kg6 g3 Rhf8 Kg2 Kh7 Kf3 g5 h3 gxf4 gxf4 Rxf4+,60
12,c4 c5 Nc3 g6 g3 Bg7 Bg2 e6 d3 Ne7 Nf3 Nbc6 O-O Nd4 Nxd4 cxd4 Ne4 d5 cxd5 exd5 Nd2 b6 Nb3 Bb7 Bg5 Qd6 Nxd4 Bxd4 Qa4+ Nc6 Bf4 Be5 Bxe5 Qxe5 f4 Qd4+ Kh1 Qxa4 b3 Qd4 Rac1 O-O Rfe1 Rfe8 Bf1 Re3 a3 Rae8 Rc2 Ba6 b4 Bxd3 exd3 Rxe1 Rxc6 Rxf1+ Kg2 Qxd3 Kh3 Qf5+ g4 Qxf4 Kh4 Re4 h3 Qxg4+ hxg4 Rff4 Rc8+ Kg7 Kg5 Rxg4#,72
13,e4 d5 e5 e6 d4 Nc6 Nf3 f6 Nc3 fxe5 dxe5 Bb4 Bd2 Bxc3 Bxc3 Bd7 Bb5 a6 Ba4 b5 Bb3 a5 a4 b4 Bd4 Nxd4 Nxd4 Ne7 Qe2 Nf5 Nb5 Bxb5 Qxb5+ Qd7 O-O Qxb5 axb5 Rb8 Ba4 Ke7 h3 Nd4 c3 Nxb5 cxb4 axb4 Rfc1 Nd4 Rxc7+ Kd8 Rxg7 h5 Rg6 b3 Re1 Nc2 Rc1 Nd4 Rd1 Ke7 Rxd4 Rhc8 Kh2 Rc2 Rd3 Rxb2 Bxb3 Rxf2 Rdg3 Rxb3 Rg7+ Kd8 Rg8+ Kc7 R3g7+ Kb6 Rg5 Kc5 Rxh5 Rxg2+ Kxg2 Rb2+ Kg3 Rb3+ Kh4 Rxh3+ Kg5 Kd4 Rxh3 Kxe5 Rh4 Kd6 Rgh8 Ke5 Rg4 Kd6 Rh5 d4 Kg6 d3 Rf4 d2 Rh2,103
14,e4 e6 d4 d5 e5 c5 c4 Nc6 cxd5 exd5 Bb5 cxd4 Qxd4 Bd7 Qc3 a5 Nf3 Bb4 Bxc6 Bxc6 Qxb4 axb4 Nbd2 Ne7 O-O O-O Re1 Qc7 b3 Bd7 Bb2 Be6 Rad1 Nf5 Ra1 Rfc8 h3 Qa5 Bd4 Nxd4 Nxd4 Qc7 N2f3 Qb6 Kh2 Rc3 Kg3 Rac8 Kh2 h6 g3 Qc7 Kg2 Qd7 g4 Qc7 Rh1 Qb6 Kg3 Qxd4 Kg2 Qb6 g5 Rxf3 Kxf3 hxg5 Kg2 g4 hxg4 Bxg4 Rhg1 Bf5 Kh2 Be4 Rg3 g6 Rag1 Kg7 Rxg6+ fxg6 Rg3 Rh8+ Kg1,83
15,e4 c6 Nc3 d5 g3 e6 Nge2 Nf6 Bg2 Nbd7 e5 Ng8 d4 Qb6 O-O f6 Na4 Qc7 Bd2 fxe5 Qe1 e4 Ba5 b6 Bd2 Ngf6 Nac3 Be7 f3 Bb7 fxe4 dxe4 Nxe4 Nxe4 Bxe4 O-O-O Bf4 Bd6 Bg5 Rdg8 Bf4 Bxf4 Nxf4 g5 Nxe6 Qd6 Bf5 Re8 c3 Rhf8 g4 h5 Qg3 Rxf5 Qxd6 Rxf1+ Kxf1 Rf8+ Kg2,59
16,d4 e5 Nc3 exd4 Qxd4 Nc6 Qd1 Nf6 e3 d5 Bd2 Bd6 Nf3 Ne7 Bd3 c6 O-O O-O e4 Bb8 exd5 Nexd5 Nxd5 Qxd5 Bg5 Ne4 c4 Qe6 Re1 f5 Qc2 Re8 Nd2 Qg6 Bh4 Qh5 Bg3 Bxg3 hxg3 Nxd2 Rxe8+ Qxe8 Qxd2 g6 Re1 Qf8 c5 Qxc5 b4 Qd5 Qc3 Kf8 Qh8+ Kf7 Qxh7+,55
17,e4 e5 Nf3 Nf6 Bc4 Bc5 c3 O-O O-O a6 d3 Re8 h3 d6 Re1 h6 a4 c6 b4 Ba7 Be3 b5 axb5 cxb5 Bxb5 axb5 Rxa7 Rxa7 Bxa7 Nc6 Be3 Be6 Nbd2 Qa8 Qc2 Qb8 Ra1 Qc7 Qb2 Rb8 d4 exd4 cxd4 Bc4 Rc1 d5 exd5 Nxd5 Nxc4 bxc4 Rxc4 Ndxb4 Ne5 Qd6 Nxc6 Nxc6 Rxc6 Rxb2 Rxd6 Rb8 Ra6 Kh7 d5 f6 d6 Rd8 Bc5 Kg6 Ra7 f5 f4 Kf6 Kf2 g6 Kf3 Ke6 g4 Kd5 Ba3 fxg4+,80
18,e3 e5 c3 Nc6 h3 f5 Bd3 Nf6 Bc2 d5 Qe2 Be6 b3 f4 Bb2 fxe3 dxe3 Bd6 Nd2 O-O Ngf3 e4 Ng5 h6 Nxe6 Qe7 Nxf8 Qxf8 O-O-O a5 f3 a4 b4 Nxb4 cxb4 Bxb4 Nb1 a3 Bd4 Nd7 Bb3 c6 fxe4 Bc5 Bxc5 Nxc5 exd5 Qd6 dxc6+ Kh7 Rxd6 Nxb3+ axb3 a2 Qd3+ g6 Qxg6+ Kh8 Qxh6+ Kg8 Qg6+ Kf8 Rf1+ Ke7 Rf7+ Ke8 Qg8#,67
19,d4 b6,2
20,c3 c6 d3 d5 e3 Nf6 f3 g6 g3 Bg7 Bg2 h5 Ne2 h4 O-O hxg3 hxg3 Bh3 f4 Bxg2 Kxg2 e6 Rh1 Rxh1 Qxh1 Nbd7 d4 Qb6 Nd2 O-O-O Nf3 Rh8 Qg1 Ne4 Ne5 Bxe5 fxe5 c5 Qf1 Rf8 Qf3 cxd4 exd4 Qd8 Nf4 Nb6 Nh3 Nc4 Qg4 Ncd2 Bxd2 Nxd2 Qe2 Nc4 b3 Nb6 Rc1 Kb8 c4 dxc4 bxc4 Qxd4 c5 Nd5 Qb5 Rc8 c6 b6 Qa6 Rc7 Qb5 Qd2+ Nf2 Qxc1 a4 Qxc6 Qb1 Nc3+ Qe4 Nb1 Qxc6 Rxc6 Ne4 Rc2+ Kf3 Nc3 Kg4 Nxe4 Kf4 Nxg3 Kg5 Rc4 Kf6 Rxa4 Kxf7 Re4 Kxe6 Rxe5+ Kxe5 b5 Kd4 b4 Kc4 g5 Kxb4 Nf5 Kc4 g4 Kd3 g3 Ke2 a5 Kf3 a4 Kf4 a3 Kxf5 a2 Kf4 a1=Q Kxg3 Qg1+ Kh4 Qd4+ Kh5 Kc7 Kh6 Kc6 Kg6 Qe5 Kf7 Kd6 Kg6 Qe6+ Kg5 Ke7 Kf4 Qf6+ Kg3 Ke6 Kg2 Qf5 Kg1 Ke5 Kh1 Qf4 Kg1 Ke4 Kh1 Qd2 Kg1 Ke3 Kh1 Kf3 Kg1 Qe2 Kh1 Qg2#,158
